# Family Quiz Night — music bank.
# Format: Title — Artist | category
# Lines starting with # are ignored. Em-dash, en-dash, or " - " all OK.

# ── 60s classics ──────────────────────────────────────────────
...Baby One More Time — Britney Spears | 90s
Spice Up Your Life — Spice Girls | 90s
Wannabe — Spice Girls | 90s
Vogue — Madonna | 90s
Macarena — Los Del Rio | 90s
Vogue — Madonna | 90s
I Will Always Love You — Whitney Houston | 90s
My Heart Will Go On — Celine Dion | 90s
Genie in a Bottle — Christina Aguilera | 90s
Livin' la Vida Loca — Ricky Martin | 90s
Torn — Natalie Imbruglia | 90s
Ironic — Alanis Morissette | 90s
Zombie — The Cranberries | 90s

# ── 2000s ─────────────────────────────────────────────────────
Hey Ya! — OutKast | 00s
Crazy in Love — Beyoncé | 00s
Toxic — Britney Spears | 00s
In Da Club — 50 Cent | 00s
Lose Yourself — Eminem | 00s
Without Me — Eminem | 00s
Mr. Brightside — The Killers | 00s
Seven Nation Army — The White Stripes | 00s
Rolling in the Deep — Adele | 00s
Yellow — Coldplay | 00s
Clocks — Coldplay | 00s
Viva la Vida — Coldplay | 00s
Beautiful Day — U2 | 00s
Don't Know Why — Norah Jones | 00s
Drops of Jupiter — Train | 00s
Survivor — Destiny's Child | 00s
Empire State of Mind — Jay-Z | 00s
Umbrella — Rihanna | 00s

# ── 2010s ─────────────────────────────────────────────────────
Happy — Pharrell Williams | 10s
Get Lucky — Daft Punk | 10s
Royals — Lorde | 10s
Somebody That I Used to Know — Gotye | 10s
Call Me Maybe — Carly Rae Jepsen | 10s
Shake It Off — Taylor Swift | 10s
Blank Space — Taylor Swift | 10s
Bad Blood — Taylor Swift | 10s
Hello — Adele | 10s
Someone Like You — Adele | 10s
Set Fire to the Rain — Adele | 10s
Uptown Funk — Mark Ronson | 10s
Shape of You — Ed Sheeran | 10s
Thinking Out Loud — Ed Sheeran | 10s
Perfect — Ed Sheeran | 10s
Despacito — Luis Fonsi | 10s
Old Town Road — Lil Nas X | 10s
Bad Guy — Billie Eilish | 10s
Senorita — Shawn Mendes | 10s
Havana — Camila Cabello | 10s
Sunflower — Post Malone | 10s
Roar — Katy Perry | 10s
Firework — Katy Perry | 10s
Counting Stars — OneRepublic | 10s
Stay With Me — Sam Smith | 10s
Take Me to Church — Hozier | 10s
Pumped Up Kicks — Foster the People | 10s
Some Nights — fun. | 10s

# ── 2020s ─────────────────────────────────────────────────────
Watermelon Sugar — Harry Styles | 20s
As It Was — Harry Styles | 20s
Levitating — Dua Lipa | 20s
Don't Start Now — Dua Lipa | 20s
Blinding Lights — The Weeknd | 20s
Save Your Tears — The Weeknd | 20s
Anti-Hero — Taylor Swift | 20s
Cardigan — Taylor Swift | 20s
Drivers License — Olivia Rodrigo | 20s
Good 4 U — Olivia Rodrigo | 20s
Stay — The Kid LAROI | 20s
Easy on Me — Adele | 20s
Bad Habits — Ed Sheeran | 20s
Heat Waves — Glass Animals | 20s
Flowers — Miley Cyrus | 20s
Unholy — Sam Smith | 20s
About Damn Time — Lizzo | 20s
Industry Baby — Lil Nas X | 20s
Espresso — Sabrina Carpenter | 20s
